koi_id,planet_designation,p_orb_days,a_AU,r_pl_earth,teff,r_star_rsol,insolation_flux_F_E
Kepler-1322,b,0.96,0.02,1.61,5488,0.87,1814.33
Kepler-1323,b,0.93,0.02,1.52,6169,1.40,6559.65
Kepler-1324,b,4.12,0.05,1.51,4776,0.73,116.19
Kepler-466,c,3.71,0.05,1.25,5927,1.05,540.66
Kepler-194,b,2.09,0.03,1.51,6089,1.02,1253.09
Kepler-195,c,34.10,0.20,1.55,5329,0.78,11.34
Kepler-196,b,20.74,0.14,1.90,5128,0.78,19.82
Kepler-197,b,5.60,0.06,1.02,6004,1.12,406.25
Kepler-197,c,10.35,0.09,1.23,6004,1.12,180.56
Kepler-197,d,15.68,0.12,1.22,6004,1.12,103.28
Kepler-197,e,25.21,0.16,0.91,6004,1.12,54.38
Kepler-200,c,10.22,0.09,1.59,5678,0.94,101.73
Kepler-203,d,11.33,0.10,1.44,5821,1.11,126.92
Kepler-204,c,25.66,0.17,1.79,5812,1.24,52.60
Kepler-205,b,2.76,0.03,1.51,4321,0.55,92.40
Kepler-205,c,20.31,0.12,1.64,4321,0.55,6.36
Kepler-206,c,13.14,0.11,1.77,5764,1.19,113.83
Kepler-9,d,1.59,0.03,1.64,5777,1.02,1395.03
Kepler-11,b,10.30,0.09,1.80,5663,1.06,125.20
Kepler-36,b,13.84,0.12,1.49,5911,1.63,218.91
Kepler-37,b,13.37,0.11,0.34,5417,0.79,43.53
Kepler-37,c,21.30,0.14,0.75,5417,0.79,23.39
Kepler-37,d,39.79,0.22,1.94,5417,0.79,10.17
